"participant";"position";"introspection";"included";"number_lessons";"math_edu"
"part15_05";"Pos3";7;1;0;7
"part15_05";"Pos2";6;1;0;7
"part15_35";"Pos1";9;1;3;6
"part15_35";"Pos3";8;1;3;6
"part15_35";"Pos2";8;1;3;6
"part16";"Pos1";10;1;7;4
"part16";"Pos2";9;1;7;4
"part16";"Pos3";8;1;7;4
"part16_0";"Pos3";8;1;0;3
"part16_0";"Pos2";7;1;0;3
"part16_0";"Pos1";8;1;0;3
"part16_05";"Pos2";5;0;0;4
"part16_05";"Pos3";5;0;0;4
"part16_05";"Pos1";NA;0;0;4
"part16_35";"Pos1";10;1;5;2
"part16_35";"Pos3";7;1;5;2
"part16_35";"Pos2";8;1;5;2
"part17";"Pos1";9;1;1;2
"part17";"Pos2";8;1;1;2
"part17";"Pos3";7;1;1;2
"part17_0";"Pos2";7;1;0;2
"part17_0";"Pos3";7;1;0;2
"part17_0";"Pos1";8;1;0;2
"part17_05";"Pos2";7;1;0;2
"part17_05";"Pos3";7;1;0;2
"part17_05";"Pos1";8;1;0;2
"part17_35";"Pos2";6;1;3;2
"part17_35";"Pos1";8;1;3;2
"part17_35";"Pos3";6;1;3;2
"part18";"Pos1";9;1;7;0
"part18";"Pos2";7;1;7;0
"part18";"Pos3";5;1;7;0
"part18_0";"Pos1";7;1;0;4
"part18_0";"Pos2";1;1;0;4
"part18_0";"Pos3";3;1;0;4
"part18_05";"Pos3";9;1;0;2
"part18_05";"Pos1";9;1;0;2
"part18_05";"Pos2";9;1;0;2
"part18_35";"Pos2";6;1;5;2
"part18_35";"Pos1";9;1;5;2
"part18_35";"Pos3";5;1;5;2
"part19";"Pos1";8;0;1;6
"part19";"Pos2";8;0;1;6
"part19";"Pos3";8;0;1;6
"part19_05";"Pos3";7;0;0;2
"part19_05";"Pos1";8;0;0;2
"part19_05";"Pos2";8;0;0;2
"part19_35";"Pos1";8;1;3;4
"part19_35";"Pos3";7;1;3;4
"part19_35";"Pos2";7;1;3;4
"part2";"Pos1";8,5;0;7;7
"part2";"Pos3";9,5;0;7;7
"part2";"Pos2";9,5;0;7;7
"part2_0";"Pos3";6;1;0;2
"part2_0";"Pos1";5;1;0;2
"part2_0";"Pos2";4;1;0;2
"part2_05";"Pos1";8;0;0;2
"part2_05";"Pos3";9;0;0;2
"part2_05";"Pos2";9;0;0;2
"part2_35";"Pos1";9;1;5;2
"part2_35";"Pos3";8;1;5;2
"part2_35";"Pos2";9;1;5;2
"part20";"Pos1";10;1;7;7
"part20";"Pos2";10;1;7;7
"part20";"Pos3";10;1;7;7
"part20_05";"Pos2";9;0;0;2
"part20_05";"Pos1";9;0;0;2
"part20_05";"Pos3";9;0;0;2
"part20_35";"Pos1";7;1;5;2
"part20_35";"Pos3";5;1;5;2
"part20_35";"Pos2";7;1;5;2
"part21";"Pos1";6;1;1;4
"part21";"Pos2";7;1;1;4
"part21";"Pos3";6;1;1;4
"part21_05";"Pos2";7;0;0;4
"part21_05";"Pos1";8;0;0;4
"part21_05";"Pos3";7;0;0;4
"part21_35";"Pos3";9;1;3;2
"part21_35";"Pos2";9;1;3;2
"part21_35";"Pos1";9;1;3;2
"part22";"Pos1";10;1;7;7
"part22";"Pos2";6;1;7;7
"part22";"Pos3";7;1;7;7
"part22_35";"Pos2";6;1;5;5
"part22_35";"Pos1";10;1;5;5
"part22_35";"Pos3";8;1;5;5
"part23";"Pos1";8;0;1;4
"part23";"Pos2";8;0;1;4
"part23";"Pos3";8;0;1;4
"part23_35";"Pos1";6;0;3;2
"part23_35";"Pos2";6;0;3;2
"part23_35";"Pos3";6;0;3;2
"part24";"Pos1";9,5;0;7;3
"part24";"Pos2";9,5;0;7;3
"part24";"Pos3";8,5;0;7;3
"part24_35";"Pos1";8;1;5;3
"part24_35";"Pos3";7;1;5;3
"part24_35";"Pos2";8;1;5;3
"part25";"Pos1";7;1;1;4
"part25";"Pos2";5;1;1;4
"part25";"Pos3";5;1;1;4
"part25_35";"Pos3";8;0;3;4
"part25_35";"Pos2";8;0;3;4
"part25_35";"Pos1";10;0;3;4
"part26";"Pos1";9;0;7;5
"part26";"Pos2";9;0;7;5
"part26";"Pos3";9;0;7;5
"part26_35";"Pos2";8;1;5;2
"part26_35";"Pos3";7;1;5;2
"part26_35";"Pos1";10;1;5;2
"part27";"Pos1";5,5;1;1;6
"part27";"Pos2";8,5;1;1;6
"part27";"Pos3";NA;1;1;6
"part27_35";"Pos2";10;1;3;5
"part27_35";"Pos1";10;1;3;5
"part27_35";"Pos3";10;1;3;5
"part28";"Pos2";8;1;7;7
"part28";"Pos1";9;1;7;7
"part28";"Pos3";7;1;7;7
"part28_35";"Pos1";8;1;5;2
"part28_35";"Pos2";8;1;5;2
"part28_35";"Pos3";9;1;5;2
"part29";"Pos2";8;1;1;4
"part29";"Pos1";9;1;1;4
"part29";"Pos3";8;1;1;4
"part29_35";"Pos3";6,5;0;5;2
"part29_35";"Pos1";7,5;0;5;2
"part29_35";"Pos2";6,5;0;5;2
"part3";"Pos1";9;0;1;2
"part3";"Pos2";7;0;1;2
"part3";"Pos3";4;0;1;2
"part3_0";"Pos3";9;1;0;6
"part3_0";"Pos2";7;1;0;6
"part3_0";"Pos1";5;1;0;6
"part3_05";"Pos2";8;1;0;5
"part3_05";"Pos3";7;1;0;5
"part3_05";"Pos1";7;1;0;5
"part3_35";"Pos3";3,5;1;3;2
"part3_35";"Pos1";8,5;1;3;2
"part3_35";"Pos2";3,5;1;3;2
"part30";"Pos1";5;1;7;4
"part30";"Pos3";5;1;7;4
"part30";"Pos2";5;1;7;4
"part30_35";"Pos2";8;1;5;2
"part30_35";"Pos3";8;1;5;2
"part30_35";"Pos1";10;1;5;2
"part31";"Pos1";7;1;1;6
"part31";"Pos3";7;1;1;6
"part31";"Pos2";4;1;1;6
"part31_35";"Pos2";9;1;3;4
"part31_35";"Pos1";9;1;3;4
"part31_35";"Pos3";9;1;3;4
"part32";"Pos1";7;0;7;5
"part32";"Pos2";8;0;7;5
"part32";"Pos3";8;0;7;5
"part32_35";"Pos1";10;1;3;4
"part32_35";"Pos2";9;1;3;4
"part32_35";"Pos3";9;1;3;4
"part33";"Pos1";7;1;1;3
"part33";"Pos2";7;1;1;3
"part33";"Pos3";8;1;1;3
"part34";"Pos1";9;1;7;5
"part34";"Pos2";8;1;7;5
"part34";"Pos3";9;1;7;5
"part35";"Pos1";7;0;1;2
"part35";"Pos2";8;0;1;2
"part35";"Pos3";7;0;1;2
"part36";"Pos2";7;1;7;5
"part36";"Pos1";7,5;1;7;5
"part36";"Pos3";7;1;7;5
"part37";"Pos1";10;1;1;3
"part37";"Pos2";10;1;1;3
"part37";"Pos3";10;1;1;3
"part38";"Pos2";7,5;1;1;2
"part38";"Pos1";9,5;1;1;2
"part38";"Pos3";6,5;1;1;2
"part4";"Pos1";9,5;1;7;5
"part4";"Pos2";9,5;1;7;5
"part4";"Pos3";9,5;1;7;5
"part4_0";"Pos2";6,5;0;0;1
"part4_0";"Pos3";7;0;0;1
"part4_0";"Pos1";7,5;0;0;1
"part4_05";"Pos2";6;0;0;0
"part4_05";"Pos3";6;0;0;0
"part4_05";"Pos1";8;0;0;0
"part4_35";"Pos2";8;1;5;6
"part4_35";"Pos3";7;1;5;6
"part4_35";"Pos1";9;1;5;6
"part5";"Pos1";7;1;1;7
"part5";"Pos2";7;1;1;7
"part5";"Pos3";7;1;1;7
"part5_0";"Pos1";9;0;0;2
"part5_0";"Pos2";7;0;0;2
"part5_0";"Pos3";8;0;0;2
"part5_05";"Pos3";10;1;0;2
"part5_05";"Pos1";10;1;0;2
"part5_05";"Pos2";10;1;0;2
"part5_35";"Pos1";10;1;3;5
"part5_35";"Pos2";9;1;3;5
"part5_35";"Pos3";8;1;3;5
"part6";"Pos2";7;1;7;7
"part6";"Pos1";10;1;7;7
"part6";"Pos3";7;1;7;7
"part6_0";"Pos3";6;0;0;2
"part6_0";"Pos1";7;0;0;2
"part6_0";"Pos2";6;0;0;2
"part6_05";"Pos3";7;1;0;6
"part6_05";"Pos1";8;1;0;6
"part6_05";"Pos2";6;1;0;6
"part6_35";"Pos1";6,5;0;5;5
"part6_35";"Pos3";7,5;0;5;5
"part6_35";"Pos2";5,5;0;5;5
"part7";"Pos2";6;1;1;7
"part7";"Pos1";6;1;1;7
"part7";"Pos3";6;1;1;7
"part7_0";"Pos3";8;1;0;2
"part7_0";"Pos2";9;1;0;2
"part7_0";"Pos1";9;1;0;2
"part7_05";"Pos2";3;1;0;4
"part7_05";"Pos1";4;1;0;4
"part7_05";"Pos3";3;1;0;4
"part7_35";"Pos3";9;1;3;6
"part7_35";"Pos1";10;1;3;6
"part7_35";"Pos2";10;1;3;6
"part8";"Pos1";10;1;7;7
"part8";"Pos3";10;1;7;7
"part8";"Pos2";10;1;7;7
"part8_0";"Pos3";6;1;0;5
"part8_0";"Pos2";6;1;0;5
"part8_0";"Pos1";7;1;0;5
"part8_05";"Pos2";3;1;0;5
"part8_05";"Pos3";4;1;0;5
"part8_05";"Pos1";9,5;1;0;5
"part8_35";"Pos3";5,5;1;5;7
"part8_35";"Pos2";7,5;1;5;7
"part8_35";"Pos1";7;1;5;7
"part9";"Pos1";8;1;1;2
"part9";"Pos3";8;1;1;2
"part9";"Pos2";8;1;1;2
"part9_0";"Pos2";9;0;0;2
"part9_0";"Pos1";10;0;0;2
"part9_0";"Pos3";9;0;0;2
"part9_05";"Pos3";10;1;0;2
"part9_05";"Pos2";9;1;0;2
"part9_05";"Pos1";10;1;0;2
"part9_35";"Pos2";7;1;3;4
"part9_35";"Pos1";9;1;3;4
"part9_35";"Pos3";7;1;3;4
